T I AM
N 1 5500
N 3 6484
N 3 6975
N 0 7467
N 3 7959
N 1 8451
N 3 8943
N 0 9434
N 2 10418
N 0 11402
N 2 12385
N 0 12877
N 4 13369
N 2 13861
N 2 14352
N 4 14844
N 3 15336
N 4 16320
N 0 16811
N 0 17303
N 2 17795
N 3 18287
N 3 18779
N 3 19270
N 2 20254
N 3 21238
N 0 21730
N 2 22221
N 2 22713
N 2 23205
N 1 24189
N 3 25172
N 0 25664
N 2 26156
N 1 26648
N 4 27139
N 2 27631
N 0 28123
N 2 28615
N 4 29107
N 2 30090
N 3 30582
N 2 31074
N 1 31566
N 3 32057
N 0 33041
N 1 34025
N 0 34516
N 2 35008
N 0 35500
N 0 35992
N 0 36975
N 2 37959
N 3 38451
N 0 38943
N 2 39926
N 0 40418
N 3 40910
N 1 41402
N 4 41893
N 4 42385
N 0 42877
N 4 43861
N 4 44844
N 2 45828
N 1 46811
N 4 47795
N 1 48779
N 0 49762
N 1 50254
N 0 50746
N 4 51238
N 2 51730
N 1 52221
N 2 52713
N 1 53205
N 2 53697
N 0 54189
N 1 54680
N 4 55664
N 1 56156
N 3 56648
N 2 57631
N 0 58615
N 2 59598
N 0 60090
N 2 60582
N 3 61074
N 2 61566
N 1 62057
N 4 62549
N 4 63533
N 0 64516
N 2 65008
N 4 65500
N 2 66484
N 2 66975
N 2 67467
N 1 67959
N 2 68451
N 2 69434
N 2 69926
